product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
1127264513,[쌤소나이트RED/루이까또즈/라빠레뜨] 단독 판매 백팩/크로스백/미니백/남성반지갑/여성지갑 택1,홈,패션잡화,핸드백/가방,숄더백,숄더백,,,,,,,,,"159,000","90,630",,,436
1107180193,[프라다]★PRADA 프라다가방 데일리백18종+5만원상당 받침대(일부상품)BT0706/BN1902/B1843M/BR4997/BN1903/BT1026,홈,수입명품,핸드백/가방,숄더백,숄더백,,,,,,,,,"1,000,000","848,820",,,36
12497842,[트라이엄프]트라이엄프 노와이어 매직와이어 11종,홈,TV쇼핑,언더웨어,,,,,,,,트라이엄프,트라이엄프,베트남,"198,000","177,200","168,340",,1142
12499749,[더 리안뉴욕][더 리안뉴욕] 웜&소프트 기모 컬렉션 4PCS + 머플러,홈,TV쇼핑,여성의류,,,,,,,,더 리안뉴욕,(주)한스갤러리,한국,"39,900","38,900","36,950",,1016
1130971693,[LG전자][BOXING] 두 손은 자유롭게! 최강음질은 덤으로! 톤플러스 인기상품 2종 中 선택1,홈,휴대폰/음향/차량용기기,이어폰,블루투스 이어폰,,,,,,,,,,,"62,000",,,16
1075509890,[연남동 기사식당]연남동 기사식당 왕돈가스 330g/한국식 소스(500g)/일본식 소스(500g) 중 택 1,홈,가공식품,가공축산/수산,돈까스/스테이크/햄,스테이크,,,,,,,,,,"2,590",,,102
1131268860,[코오롱스포츠]동절 여성 후드일체 긴기장 잔퀼팅 경량 다운자켓 (슈퍼셀) (JKJDW15322INK),홈,롯데백화점,아웃도어/골프/레저,여성등산복,다운/패딩재킷/점퍼,덕다운/패딩,,,,,코오롱스포츠,코오롱인더스트리FNC,베트남,"198,000","188,100","178,690",,17
12499596,판매불가 상품,,,,,,,,,,,,,,,,,,
1067759083,"[쿠쿠]10인용 IH전기압력밥솥 CRP-HYXB1060FB [내솥코팅:다이아쉴드(외),엑스월블랙샤인(내)/ 2중모션패킹,중국어/영어음성.야간음성자동조절/ LED,터치잠금기능(확인버튼3초간)]",홈,생활/계절/주방가전,전기밥솥,쿠쿠,IH압력밥솥,,,,,,쿠쿠,쿠쿠전자,대한민국,"309,000","307,450","292,080",,211
1132869382,[아디다스키즈][아디다스키즈]트랙수트/트레이닝복set/운동화/책가방set 27종 1택,홈,U아동관,롯데백화점 아동의류/잡화,신발/가방/잡화,운동화/스니커즈,공용,,,,,,,,,"38,710",,,35
1065524196,[노스클린]노스클린 전동식 콧물흡입기(건전지 2개+흡인팁 소/대 포함),홈,U아동관,유아용품/출산준비,유아화장품/목욕/위생용품,코흡입기/투약기,전체보기,,,,,노스클린,AVITA,중국,"24,900",,"23,650",,659
1123138586,[JJ지고트]캐주얼한 밴드넥의 셔츠형 플레어 원피스 + 벨트(GGZFL400776),홈,롯데백화점,여성캐주얼,원피스,모직/트위드원피스,,,,,,JJ지고트,㈜바바패션,중국,"69,000","62,100","58,990",,33
1077842689,[조셉앤스테이시]Oz Round Zip Wallet Slim 9종중 택1,홈,패션잡화,지갑/벨트,여성용지갑,반지갑,,,,,,조셉앤스테이시,March International,KOREA Rep.,"59,900",,"56,900",,192
1111280723,[미쟝센]미쟝센 퍼펙트 세럼 4종택1,홈,국내화장품,아모레퍼시픽,아이템별상품보기,헤어케어,,,,,,미쟝센,㈜ 아모레퍼시픽,한국,"9,400","8,930","8,480",,355
1101900089,[JJ지고트]체크 패치가 멋스러운 면혼방소재 트렌치코트 (GGFC401602),홈,롯데백화점,영캐주얼,코트,트렌치코트,,,,,,JJ지고트,(주)바바패션,인도네시아,"59,000","52,510","49,880",,27
1084955664,[다이슨(DYSON)][3월7일-3월20일 : 홈스타일링페어 행사기간 구매시에만 상품평 쓰고 쿠펠 파드 커피머신 세트 받자!][MD추천상품][획기적 신상품] 다이슨 핸디 겸용 스틱 무선 진공청소기 V6 플러피 헤파,홈,생활/계절/주방가전,청소기,진공청소기,다이슨 dyson,,,,,,다이슨(DYSON),다이슨,말레이시아,"938,000","898,030","853,130",,264
1134070687,[앤듀/지오다노外]요즘 대세 항공점퍼 BEST OF BEST로 다모았어!,홈,롯데백화점,진/유니섹스,점퍼,누빔점퍼,,,,,,,,,"59,000","50,150",,,119
1132501831,"[디스커버리]남성 배색밀포드다운[정상가690,000]DMDJ7E561",홈,롯데백화점,아웃도어/골프/레저,남성등산복,다운/패딩재킷/점퍼,덕다운/패딩,,,,,디스커버리,F&F;,베트남,"483,000","432,090","410,490",,5
12481882,[W(WELLNESS WATER)]W 웰니스 정수기 / 탄산수기 렌탈,홈,,,,,,,,,,W(WELLNESS WATER),(주)케어스워터,한국/중국,,,,,14
1051328135,[쿠쿠]쿠쿠 IH전기압력밥솥 10인용 CRP-HLF1060SR,홈,생활/계절/주방가전,쿠쿠,IH압력밥솥,,,,,,,쿠쿠,쿠쿠전자(주),한국,"234,000","221,190","210,130",,570
12503837,[시크릿에이지][시크릿에이지] 롯데단독! 슈멜츠 RX 주름크림 최초 1+1+1+1 최다구성!,홈,TV쇼핑,화장품/이미용,,,,,,,,시크릿에이지,셀렙,한국,"89,000","88,000","83,600",,2483
1059663776,[더원코리아(THE ONE KOREA)]더원카매트 블랙에디션,홈,등산/캠핑/자동차,자동차용품,바닥매트,방음/방진매트,,,,,,더원코리아(THE ONE KOREA),(주)글로벌더원코리아,한국,"69,000","53,130","50,470",,679
1131484451,[엠씨]니트/원피스/재킷外 20종택1,홈,롯데백화점,여성정장/모피,재킷,노카라/플랫카라재킷,,,,,,,,,"20,000","17,000",,,57
1078045540,★롯데아이몰 단독특가★ 브라운 브랜드위크 특집전,홈,생활/계절/주방가전,믹서기/핸드블랜더,핸드블랜더,브라운,,,,,,,,,"72,060","69,900",,,502
12500357,[해밀턴]해밀턴비치(Hamilton Beach) 더블브런치마스터,홈,TV쇼핑,가전,,,,,,,,해밀턴,기타,중국,"59,800","53,810","51,120",,661
12497785,[범퍼바이흄]범퍼 프리미엄 라쿤 롱 다운 코트,홈,TV쇼핑,여성의류,,,,,,,,범퍼바이흄,주식회사 코리아팩토리,베트남,"99,000","98,000","93,100",,1135
1088666387,[롯데백화점 노스페이스]맥머도 시리즈 최대 20만원할인!,홈,롯데백화점,아웃도어/골프/레저,남성등산복,다운/패딩재킷/점퍼,구스다운,중경량,,,,,,,"270,000","241,780",,,485
12497546,[조르쥬 레쉬]Georges Rech(조르쥬 레쉬) 양털 앵클부츠,홈,TV쇼핑,패션잡화,,,,,,,,조르쥬 레쉬,(주)벨몽테코리아,중국,"69,000","68,000","64,600",,542
1122912540,[하트앤소울][하트앤소울]여성메모리슬림핏구스코트,홈,트렌드패션,빅사이즈 브랜드,오가게 전문관,자켓/점퍼/코트,,,,,,하트앤소울,(주)엠프로미스,베트남,"29,900",,"28,400",,59
8182530,[나이키(NIKE)]나이키 다운쉬프터/레볼루션/엠디러너/티라이트 여성운동화 9종 택일,홈,스포츠패션/슈즈,스포츠슈즈,여성슈즈,런닝/워킹화,,,,,,나이키(NIKE),나이키,베트남,"48,900",,"46,450",,398
1132085891,[유니온베이]응답하라! F/W 신상 최.종.가.전! 남여공용 아우터/티셔츠/니트外 10종택1,홈,롯데백화점,진/유니섹스,점퍼,누빔점퍼,,,,,,,,,,"19,000",,,56
