product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
12501671,[에드워드권 스테이크][EK] 에드워드권 수비드 립아이 스테이크 150g X 10팩 + 소스 2종,홈,TV쇼핑,식품/건강식품,,,,,,,,에드워드권 스테이크,(주)미트뱅크,한국,"89,900","88,900","84,450",94,1279
1132119107,[슈즈10대브랜드]겨울슈즈최종가 21종택1,홈,패션슈즈,여성화,디자이너슈즈몰,부츠,롱부츠,,,,,,,,"5,900","5,600",,,1111
12503955,"[보테가베르데][BOTTEGA VERDE] 보테가베르데 안티에이징 크림 50ml x 2개, 롯데단독 특별 패키지",홈,TV쇼핑,화장품/이미용,,,,,,,,보테가베르데,Bottega Verde S.r.l,이탈리아,"89,000","88,000","83,600",,977
12502850,[몽타규][MONTAGUT] 몽타규 에쌍시엘 울 블렌디드 풀오버 3종세트,홈,TV쇼핑,여성의류,,,,,,,,몽타규,지엠글로벌마케팅,한국,"49,000","48,000","45,600",,529
1132744563,[리스트(LIST)]15 겨울 더블버튼 모직코트(TWHCF80140),홈,롯데백화점,여성캐주얼,코트,하프코트,,,,,,리스트(LIST),(주)인동에프엔,베트남,"99,000",,"94,050",,58
1132502627,[티렌러비] 캐시미어코트/다운점퍼 택1,홈,TV쇼핑,언더웨어,,,,,,,,,,,,"79,000",,,2134
12500468,[아니베에프]아니베F 울 블랜디드 핸드메이드 코트,홈,TV쇼핑,여성의류,,,,,,,,아니베에프,(주)새롬어패럴,중국,"119,000","118,000","112,100",,1152
1133953177,[온앤온.올리브데올리브.코인코즈]앞서가는 당신이라면 봄준비 START!,홈,롯데백화점,여성캐주얼,재킷,테일러드재킷,,,,,,,,,"39,000","33,900",,,72
1120688410,[에고이스트][에고이스트]겨울엔 이렇게! 리얼 겨울룩 완성!,홈,롯데백화점,여성캐주얼,셔츠/블라우스,데님 셔츠,,,,,,,,,"59,000","51,920",,,102
1129189861,[베스띠벨리/쉬즈미스] 원피스/패딩/코트外 30종 택1,홈,롯데백화점,여성정장/모피,베스트/가디건,패딩/다운베스트,,,,,,,,,,"20,000",,,253
1117867433,[빈폴키즈]BEST 책가방 / 백팩&보조가방SET 22종 택1,홈,U아동관,유아동의류/잡화,신발/가방/잡화,보리보리 전문관,유아동관☞키즈멤버쉽,가방류,학생가방,,,,,,"173,000","164,350",,,194
12493563,[보니스팍스]보니스팍스 벨크롭 니트+반폴라 니트 2종 세트,홈,TV쇼핑,여성의류,,,,,,,,보니스팍스,(주)커스,중국,"59,000","58,000","55,100",,979
12486658,[아너스]아너스 듀얼회전 물걸레 청소기,홈,TV쇼핑,가전,,,,,,,,아너스,아너스,한국,"159,000","148,000","140,600",,4247
1133469830,[덴비(DENBY)]덴비 헤리티지 홈세트(2인/4인/6인) & 인기단품 모음전,홈,주방,도자기브랜드,더키친갤러리관,명품브랜드관,덴비,헤리티지,,,,,,,,"11,000",,,301
12499090,[자이글]에코그릴 자이글 적외선 조리기(핸썸 그릴),홈,TV쇼핑,가전,,,,,,,,자이글,"Zhejiang Suncon Electric Appliance Co.,Ltd","Zhejiang Haowan Household Articles Co.,Ltd","189,000","170,550","162,020",,1451
12503841,[라뮤리나 바이 장형철]라뮤리나 바이 장형철 울블렌디드 컬렉션 팬츠 2종,홈,TV쇼핑,여성의류,,,,,,,,라뮤리나 바이 장형철,디피앤케이OEM,중국,"54,000","53,000","50,350",,421
